,Source,Target,Type,Weight
0,glass,wood,undirected,1
1,acrylic,steel,undirected,1
2,glass,steel,undirected,1
3,mdf,neoprene,undirected,1
4,mdf,steel,undirected,1
5,neoprene,rubber,undirected,1
6,rubber,wood,undirected,1
7,steel,wood,undirected,1
8,brick,porcelain,undirected,1
9,mdf,wood,undirected,1
10,porcelain,steel,undirected,1
11,rubber,steel,undirected,1
12,cardboard,neoprene,undirected,1
13,acrylic,porcelain,undirected,1
14,cardboard,steel,undirected,1
15,neoprene,steel,undirected,1
16,neoprene,wood,undirected,1
17,glass,porcelain,undirected,1
18,mdf,porcelain,undirected,1
19,porcelain,rubber,undirected,1
20,glass,mdf,undirected,1
21,mdf,rubber,undirected,1
22,acrylic,mdf,undirected,1
23,acrylic,rubber,undirected,1
24,glass,rubber,undirected,1
25,acrylic,glass,undirected,1